feature,importance
google_eta_min,0.5055978787991393
distance_x_traffic,0.28393397411381566
peak_x_distance,0.04247457227732364
dow_sin,0.023852807121937138
traffic_congestion_score,0.019169125722218298
rainfall_mm,0.01670977240529436
distance_km,0.016304600267044927
rain_x_traffic,0.014478738030723519
hour_cos,0.014463216168251043
hour_sin,0.014154806803111313
total_signals,0.011083270035684637
hour_of_day,0.010884451102532841
dow_cos,0.010184195073392497
total_turns,0.008332390582793059
day_of_week,0.006476323362688243
is_raining,0.0007168147490395825
is_weekend,0.0005023214975992434
is_peak_hour,0.00045263501436733946
is_holiday,0.0002281068730431474
